T_degC,Salnty
10.5,33.44
10.46,33.44
10.46,33.437
10.45,33.42
10.45,33.421
10.45,33.431
10.45,33.44
10.24,33.424
10.06,33.42
9.86,33.494
9.83,33.51
9.67,33.58
9.5,33.64
9.32,33.689
8.76,33.847
8.71,33.86
8.53,33.876
8.45,
8.26,33.926
7.96,33.98
7.77,33.99
6.8,34.04
6.55,34.056
5.78,34.113
5.3,34.16
5.29,34.161
5.01,34.21
4.72,34.261
4.44,34.31
10.1,32.95
9.89,32.94
9.75,32.939
9.69,32.95
9.52,33.013
9.06,33.24
9.04,33.272
8.92,33.46
8.83,33.488
8.37,33.6
8.26,33.631
7.85,33.745
7.64,33.8
7.5,33.833
6.98,33.93
6.85,33.939
6.32,33.943
6.05,33.95
5.95,33.957
5.6,34
5.5,34.016
5.02,34.101
4.74,34.16
4.62,34.188
4.33,34.259
4.08,34.319
3.99,34.34
3.85,34.354
3.62,34.378
3.38,34.403
3.15,34.429
3.14,34.43
10.2,32.63
10.05,32.66
9.95,32.66
9.94,32.66
9.92,32.673
9.87,32.68
9.62,32.75
9.66,32.736
9.9,32.66
9.65,32.74
9.62,32.765
9.23,33.12
9.21,33.132
8.79,33.398
8.37,33.605
7.71,33.82
7.58,33.844
6.93,33.926
6.47,33.93
6.37,33.941
5.54,34.041
5.02,34.11
4.97,34.113
4.59,34.135
4.31,34.151
4.14,34.16
4.11,34.169
3.89,34.252
3.66,34.336
3.43,34.421
3.35,34.45
10.4,32.68
10.22,32.7
10.2,32.694
10.14,32.66
10.14,32.657
10.07,32.641
9.97,
9.72,32.699
9.42,32.79
9.32,32.967
9.27,33.1
9.02,33.286
8.6,33.533
8.56,33.55
8.32,33.746
8.18,33.84
7.71,33.863
7.16,33.89
7.08,33.893
6.61,33.91
6.38,33.75
5.79,33.955
5.14,34
5.1,34.01
4.65,34.128
4.31,34.245
4.21,34.29
4.07,34.309
3.83,34.34
3.59,34.372
3.39,34.4
10.5,32.75
10.52,32.75
10.51,32.748
10.48,32.74
10.47,32.74
10.34,32.737
10.2,
9.85,32.738
9.7,32.74
9.29,32.74
9.2,32.791
9.35,33.42
8.28,33.565
8.24,33.62
7.95,33.724
7.5,33.78
7.42,33.807
6.98,33.938
6.94,33.95
6.54,33.988
5.86,34
5.77,34.012
5.3,34.075
4.83,34.141
4.36,34.211
4.1,34.25
11.6,32.88
11.69,32.86
11.69,32.86
11.66,32.86
11.64,32.86
11.64,32.863
11.64,32.88
11.61,32.882
11.36,32.9
11.18,32.927
10.2,33.1
9.9,33.165
8.83,33.425
8.29,33.58
8.11,33.638
7.65,33.8
7.5,33.833
6.98,33.916
6.72,33.93
6.54,33.944
5.96,33.98
5.78,33.996
5.09,34.073
4.68,34.13
4.54,34.154
4.17,34.225
3.88,34.286
3.78,34.31
3.67,34.321
3.48,34.342
3.28,34.363
3.08,34.385
2.88,34.408
2.78,34.42
12.5,33.17
12.66,33.24
12.66,33.212
12.64,33.057
12.64,33.04
12.64,33.068
12.64,33.17
12.64,33.159
12.63,33.13
12.64,33.158
12.66,33.22
12.52,33.283
11.94,33.383
11.77,33.4
10.84,33.42
9.73,33.44
8.9,33.518
7.75,33.672
8.16,33.86
7.03,33.828
6.76,33.95
6.07,33.932
5.21,33.942
5.12,33.8
4.71,33.996
4.38,34.086
4.28,34.14
4.14,34.166
3.89,34.217
3.63,34.268
3.37,34.32
3.11,34.374
3.08,34.38
12.2,33.13
12.22,32.92
12.22,32.9
12.23,32.84
12.23,32.842
12.23,32.858
12.23,
12.21,32.891
12.2,32.9
12.24,33.04
